id,employer_id,benefit_policy_id,policy_number,parent_id,active,updated_at,updated_by
10242,1,,,,t,2026-05-30 21:53:41.032457,
84858,1,,,,t,2026-06-28 01:34:40.152491,
84859,1,,,,t,2026-06-28 01:34:40.193058,
84860,1,,,,t,2026-06-28 01:34:40.200299,
84861,1,,,,t,2026-06-28 01:34:40.203841,
84862,1,,,,t,2026-06-28 01:34:40.207372,
84863,1,,,,t,2026-06-28 01:34:40.219328,
84864,1,,,,t,2026-06-28 01:34:40.22879,
84865,1,,,,t,2026-06-28 01:34:40.237669,
84866,1,,,,t,2026-06-28 01:34:40.244138,
84867,1,,,,t,2026-06-28 01:34:40.249473,
84868,1,,,,t,2026-06-28 01:34:40.269638,
84869,1,,,,t,2026-06-28 01:34:40.280942,
84870,1,,,,t,2026-06-28 01:34:40.288498,
84871,1,,,,t,2026-06-28 01:34:40.308613,
84872,1,,,,t,2026-06-28 01:34:40.310843,
84873,1,,,,t,2026-06-28 01:34:40.31298,
84874,1,,,,t,2026-06-28 01:34:40.314448,
84875,1,,,,t,2026-06-28 01:34:40.316734,
84876,1,,,,t,2026-06-28 01:34:40.325192,
84877,1,,,,t,2026-06-28 01:34:40.332797,
84878,1,,,,t,2026-06-28 01:34:40.339919,
84879,1,,,,t,2026-06-28 01:34:40.348087,
84880,1,,,,t,2026-06-28 01:34:40.351547,
84881,1,,,,t,2026-06-28 01:34:40.355013,
84882,1,,,,t,2026-06-28 01:34:40.358704,
84883,1,,,,t,2026-06-28 01:34:40.367282,
84884,1,,,,t,2026-06-28 01:34:40.377613,
84885,1,,,,t,2026-06-28 01:34:40.385615,
84886,1,,,,t,2026-06-28 01:34:40.392808,
84887,1,,,,t,2026-06-28 01:34:40.39918,
84888,1,,,,t,2026-06-28 01:34:40.40852,
84889,1,,,,t,2026-06-28 01:34:40.417334,
84890,1,,,,t,2026-06-28 01:34:40.425646,
84891,1,,,,t,2026-06-28 01:34:40.432977,
84892,1,,,,t,2026-06-28 01:34:40.444913,
84893,1,,,,t,2026-06-28 01:34:40.454107,
84894,1,,,,t,2026-06-28 01:34:40.462156,
84895,1,,,,t,2026-06-28 01:34:40.468056,
84896,1,,,,t,2026-06-28 01:34:40.470759,
84897,1,,,,t,2026-06-28 01:34:40.478785,
84898,1,,,,t,2026-06-28 01:34:40.485321,
84899,1,,,,t,2026-06-28 01:34:40.4929,
84900,1,,,,t,2026-06-28 01:34:40.500037,
84901,1,,,,t,2026-06-28 01:34:40.508915,
84902,1,,,,t,2026-06-28 01:34:40.518728,
84903,1,,,,t,2026-06-28 01:34:40.528888,
84904,1,,,,t,2026-06-28 01:34:40.533464,
84905,1,,,,t,2026-06-28 01:34:40.537303,
84906,1,,,,t,2026-06-28 01:34:40.543155,
84907,1,,,,t,2026-06-28 01:34:40.564135,
84908,1,,,,t,2026-06-28 01:34:40.56944,
84909,1,,,,t,2026-06-28 01:34:40.576825,
84910,1,,,,t,2026-06-28 01:34:40.582262,
84911,1,,,,t,2026-06-28 01:34:40.586072,
84912,1,,,,t,2026-06-28 01:34:40.591405,
84913,1,,,,t,2026-06-28 01:34:40.595551,
84914,1,,,,t,2026-06-28 01:34:40.599647,
84915,1,,,,t,2026-06-28 01:34:40.632927,
84916,1,,,,t,2026-06-28 01:34:40.636343,
84917,1,,,,t,2026-06-28 01:34:40.642067,
84918,1,,,,t,2026-06-28 01:34:40.651342,
84919,1,,,,t,2026-06-28 01:34:40.657433,
84920,1,,,,t,2026-06-28 01:34:40.661832,
84921,1,,,,t,2026-06-28 01:34:40.669994,
84922,1,,,,t,2026-06-28 01:34:40.680762,
84923,1,,,,t,2026-06-28 01:34:40.688474,
84924,1,,,,t,2026-06-28 01:34:40.69301,
84925,1,,,,t,2026-06-28 01:34:40.697763,
84926,1,,,,t,2026-06-28 01:34:40.702414,
84927,1,,,,t,2026-06-28 01:34:40.70669,
84928,1,,,,t,2026-06-28 01:34:40.711515,
84929,1,,,,t,2026-06-28 01:34:40.71494,
84930,1,,,,t,2026-06-28 01:34:40.719025,
84931,1,,,,t,2026-06-28 01:34:40.723298,
84932,1,,,,t,2026-06-28 01:34:40.727705,
84933,1,,,,t,2026-06-28 01:34:40.732374,
84934,1,,,,t,2026-06-28 01:34:40.736982,
84935,1,,,,t,2026-06-28 01:34:40.742055,
84936,1,,,,t,2026-06-28 01:34:40.748337,
84937,1,,,,t,2026-06-28 01:34:40.756235,
84938,1,,,,t,2026-06-28 01:34:40.761688,
84939,1,,,,t,2026-06-28 01:34:40.769147,
84940,1,,,,t,2026-06-28 01:34:40.773304,
84941,1,,,,t,2026-06-28 01:34:40.77912,
84942,1,,,,t,2026-06-28 01:34:40.79377,
84943,1,,,,t,2026-06-28 01:34:40.80151,
84944,1,,,,t,2026-06-28 01:34:40.805807,
84945,1,,,,t,2026-06-28 01:34:40.810879,
84946,1,,,,t,2026-06-28 01:34:40.814034,
84947,1,,,,t,2026-06-28 01:34:40.817002,
84948,1,,,,t,2026-06-28 01:34:40.820681,
84949,1,,,,t,2026-06-28 01:34:40.824219,
84950,1,,,,t,2026-06-28 01:34:40.829441,
84951,1,,,,t,2026-06-28 01:34:40.831491,
84952,1,,,,t,2026-06-28 01:34:40.833882,
84953,1,,,,t,2026-06-28 01:34:40.837483,
84954,1,,,,t,2026-06-28 01:34:40.842498,
84955,1,,,,t,2026-06-28 01:34:40.850815,
84956,1,,,,t,2026-06-28 01:34:40.854247,
84957,1,,,,t,2026-06-28 01:34:40.85945,
84958,1,,,,t,2026-06-28 01:34:41.864996,
84959,1,,,,t,2026-06-28 01:34:41.869723,
84960,1,,,,t,2026-06-28 01:34:41.874193,
